year,stage,output,capacity
2020,mine,brine,232.5
2020,mine,spod,232.5
2020,mine,clay,232.5
2021,mine,brine,257
2021,mine,spod,257
2021,mine,clay,257
2022,mine,brine,296
2022,mine,spod,296
2022,mine,clay,296
2023,mine,brine,330
2023,mine,spod,330
2023,mine,clay,330
2024,mine,brine,348
2024,mine,spod,348
2024,mine,clay,348
2025,mine,brine,367.8
2025,mine,spod,367.8
2025,mine,clay,367.8
2026,mine,brine,389.58
2026,mine,spod,389.58
2026,mine,clay,389.58
2027,mine,brine,413.538
2027,mine,spod,413.538
2027,mine,clay,413.538
2028,mine,brine,439.8918
2028,mine,spod,439.8918
2028,mine,clay,439.8918
2029,mine,brine,468.88098
2029,mine,spod,468.88098
2029,mine,clay,468.88098
2030,mine,brine,409.5588974
2030,mine,spod,409.5588974
2030,mine,clay,409.5588974
2031,mine,brine,430.0979944
2031,mine,spod,430.0979944
2031,mine,clay,430.0979944
2032,mine,brine,451.9592531
2032,mine,spod,451.9592531
2032,mine,clay,451.9592531
2033,mine,brine,475.1662125
2033,mine,spod,475.1662125
2033,mine,clay,475.1662125
2034,mine,brine,499.7333269
2034,mine,spod,499.7333269
2034,mine,clay,499.7333269
2035,mine,brine,525.664907
2035,mine,spod,525.664907
2035,mine,clay,525.664907
2036,mine,brine,552.954181
2036,mine,spod,552.954181
2036,mine,clay,552.954181
2037,mine,brine,581.5825216
2037,mine,spod,581.5825216
2037,mine,clay,581.5825216
2038,mine,brine,611.5188861
2038,mine,spod,611.5188861
2038,mine,clay,611.5188861
2039,mine,brine,642.719512
2039,mine,spod,642.719512
2039,mine,clay,642.719512
2040,mine,brine,666.2645008
2040,mine,spod,666.2645008
2040,mine,clay,666.2645008
2041,mine,brine,699.2141957
2041,mine,spod,699.2141957
2041,mine,clay,699.2141957
2042,mine,brine,733.203144
2042,mine,spod,733.203144
2042,mine,clay,733.203144
2043,mine,brine,768.1415668
2043,mine,spod,768.1415668
2043,mine,clay,768.1415668
2044,mine,brine,803.9303534
2044,mine,spod,803.9303534
2044,mine,clay,803.9303534
2045,mine,brine,840.462616
2045,mine,spod,840.462616
2045,mine,clay,840.462616
2046,mine,brine,877.6254793
2046,mine,spod,877.6254793
2046,mine,clay,877.6254793
2047,mine,brine,915.3020467
2047,mine,spod,915.3020467
2047,mine,clay,915.3020467
2048,mine,brine,953.3734723
2048,mine,spod,953.3734723
2048,mine,clay,953.3734723
2049,mine,brine,991.7210637
2049,mine,spod,991.7210637
2049,mine,clay,991.7210637
2050,mine,brine,1030.22834
2050,mine,spod,1030.22834
2050,mine,clay,1030.22834
2051,mine,brine,1068.782975
2051,mine,spod,1068.782975
2051,mine,clay,1068.782975
2052,mine,brine,1107.278555
2052,mine,spod,1107.278555
2052,mine,clay,1107.278555
2053,mine,brine,1145.61611
2053,mine,spod,1145.61611
2053,mine,clay,1145.61611
2054,mine,brine,1183.705366
2054,mine,spod,1183.705366
2054,mine,clay,1183.705366
2055,mine,brine,1221.465711
2055,mine,spod,1221.465711
2055,mine,clay,1221.465711
2056,mine,brine,1258.826854
2056,mine,spod,1258.826854
2056,mine,clay,1258.826854
2057,mine,brine,1295.729187
2057,mine,spod,1295.729187
2057,mine,clay,1295.729187
2058,mine,brine,1332.123875
2058,mine,spod,1332.123875
2058,mine,clay,1332.123875
2059,mine,brine,1367.97269
2059,mine,spod,1367.97269
2059,mine,clay,1367.97269
2060,mine,brine,1421.035411
2060,mine,spod,1421.035411
2060,mine,clay,1421.035411
2061,mine,brine,1450.618453
2061,mine,spod,1450.618453
2061,mine,clay,1450.618453
2062,mine,brine,1479.817827
2062,mine,spod,1479.817827
2062,mine,clay,1479.817827
2063,mine,brine,1508.632172
2063,mine,spod,1508.632172
2063,mine,clay,1508.632172
2064,mine,brine,1537.065741
2064,mine,spod,1537.065741
2064,mine,clay,1537.065741
2065,mine,brine,1565.127748
2065,mine,spod,1565.127748
2065,mine,clay,1565.127748
2066,mine,brine,1592.83171
2066,mine,spod,1592.83171
