year,stage,output,export
2020,proc,lce,20.27151543
2021,proc,lce,30.79483654
2022,proc,lce,50.10178016
2023,proc,lce,16.1340454
2024,proc,lce,34.1926121
2025,proc,lce,50.6831956
2026,proc,lce,66.3768139
2027,proc,lce,83.6045511
2028,proc,lce,102.498479
2029,proc,lce,123.1994227
2030,proc,lce,104.8212353
2031,proc,lce,122.6963877
2032,proc,lce,141.7572142
2033,proc,lce,162.0244513
2034,proc,lce,183.5104513
2035,proc,lce,206.2182073
2036,proc,lce,230.1404886
2037,proc,lce,255.2591292
2038,proc,lce,281.5445115
2039,proc,lce,308.9552854
2040,proc,lce,329.2851562
2041,proc,lce,358.2263003
2042,proc,lce,388.0823738
2043,proc,lce,418.76956
2044,proc,lce,450.1954213
2045,proc,lce,482.2603279
2046,proc,lce,514.8591034
2047,proc,lce,547.8828318
2048,proc,lce,581.2207622
2049,proc,lce,614.7622421
2050,proc,lce,648.3986098
2051,proc,lce,682.0249789
2052,proc,lce,715.541856
2053,proc,lce,748.8565456
2054,proc,lce,781.8843032
2055,proc,lce,814.54922
2056,proc,lce,846.784828
2057,proc,lce,878.5344336
2058,proc,lce,909.751195
2059,proc,lce,940.397973
2060,proc,lce,986.80946
2061,proc,lce,1011.550657
2062,proc,lce,1035.864784
2063,proc,lce,1059.748368
2064,proc,lce,1083.203029
2065,proc,lce,1106.234882
2066,proc,lce,1128.85393
2067,proc,lce,1151.073478
2068,proc,lce,1172.909558
2069,proc,lce,1194.38041
2070,proc,lce,1215.50599
2071,proc,lce,1236.307536
2072,proc,lce,1256.80717
2073,proc,lce,1277.027562
2074,proc,lce,1296.991627
2075,proc,lce,1316.72228
2076,proc,lce,1336.242219
2077,proc,lce,1355.573758
2078,proc,lce,1374.738686
2079,proc,lce,1393.758157
2080,proc,lce,1412.652607
2081,proc,lce,1431.441702
2082,proc,lce,1450.144286
2083,proc,lce,1468.778371
2084,proc,lce,1487.361118
2085,proc,lce,1505.908843
2086,proc,lce,1524.437027
2087,proc,lce,1542.960335
2088,proc,lce,1561.492642
2089,proc,lce,1580.047054
2090,proc,lce,1598.63595
2091,proc,lce,1617.271008
2092,proc,lce,1635.963243
2093,proc,lce,1654.723042
2094,proc,lce,1673.560201
2095,proc,lce,1692.483954
2096,proc,lce,1711.503018
2097,proc,lce,1730.625619
2098,proc,lce,1749.859527
2099,proc,lce,1769.212086
2100,proc,lce,1788.690248
2020,proc,loh,10.76864951
2021,proc,loh,12.3600444
2022,proc,loh,32.8622657
2023,proc,loh,66.8964357
2024,proc,loh,104.6310164
2025,proc,loh,134.6790194
2026,proc,loh,159.3966466
2027,proc,loh,186.3809628
2028,proc,loh,215.7779898
2029,proc,loh,247.7324568
2030,proc,loh,271.299906
2031,proc,loh,303.7039798
2032,proc,loh,338.2574434
2033,proc,loh,374.9978878
2034,proc,loh,413.9477054
2035,proc,loh,455.1123223
2036,proc,loh,498.4786305
2037,proc,loh,544.0136986
2038,proc,loh,591.6638359
2039,proc,loh,641.3540829
2040,proc,loh,678.2080698
2041,proc,loh,730.672572
2042,proc,loh,784.7956576
2043,proc,loh,840.425384
2044,proc,loh,897.3941808
2045,proc,loh,955.521439
2046,proc,loh,1014.616494
2047,proc,loh,1074.481905
2048,proc,loh,1134.9169
2049,proc,loh,195.72089
2050,proc,loh,256.696893
2051,proc,loh,317.65477
2052,proc,loh,378.41416
2053,proc,loh,438.807024
2054,proc,loh,498.679738
2055,proc,loh,557.894695
2056,proc,loh,616.331401
2057,proc,loh,673.887081
2058,proc,loh,730.476822
2059,proc,loh,786.033297
2060,proc,loh,870.168034
2061,proc,loh,915.018871
2062,proc,loh,959.095518
2063,proc,loh,1002.391675
2064,proc,loh,1044.910281
2065,proc,loh,1086.662421
2066,proc,loh,1127.66623
2067,proc,loh,1167.945822
2068,proc,loh,1207.530264
2069,proc,loh,1246.452621
2070,proc,loh,1284.74907
2071,proc,loh,1322.45811
2072,proc,loh,1359.619844
2073,proc,loh,1396.275367
2074,proc,loh,1432.466222
2075,proc,loh,1468.233946
2076,proc,loh,1503.619689
2077,proc,loh,1538.663902
2078,proc,loh,1573.40608
2079,proc,loh,1607.884573
2080,proc,loh,1642.13643
2081,proc,loh,1676.197297
2082,proc,loh,1710.10134
2083,proc,loh,1743.881206
2084,proc,loh,777.568008
2085,proc,loh,811.191321
2086,proc,loh,844.77921
2087,proc,loh,878.358261
2088,proc,loh,911.953622
2089,proc,loh,945.589058
2090,proc,loh,979.287006
2091,proc,loh,1013.068638
2092,proc,loh,1046.953919
2093,proc,loh,1080.961681
2094,proc,loh,1115.109678
2095,proc,loh,1149.414655
2096,proc,loh,1183.892412
2097,proc,loh,1218.557861
2098,proc,loh,1253.425086
2099,proc,loh,1288.507402
2100,proc,loh,1323.81741

