year,stage,output,invest
2020,mine,brine,3
2020,mine,spod,3
2020,mine,clay,3
2021,mine,brine,3
2021,mine,spod,3
2021,mine,clay,3
2022,mine,brine,3
2022,mine,spod,3
2022,mine,clay,3
2023,mine,brine,3
2023,mine,spod,3
2023,mine,clay,3
2024,mine,brine,3
2024,mine,spod,3
2024,mine,clay,3
2025,mine,brine,3
2025,mine,spod,3
2025,mine,clay,3
2026,mine,brine,3
2026,mine,spod,3
2026,mine,clay,3
2027,mine,brine,3
2027,mine,spod,3
2027,mine,clay,3
2028,mine,brine,3
2028,mine,spod,3
2028,mine,clay,3
2029,mine,brine,3
2029,mine,spod,3
2029,mine,clay,3
2030,mine,brine,3
2030,mine,spod,3
2030,mine,clay,3
2031,mine,brine,3
2031,mine,spod,3
2031,mine,clay,3
2032,mine,brine,3
2032,mine,spod,3
2032,mine,clay,3
2033,mine,brine,3
2033,mine,spod,3
2033,mine,clay,3
2034,mine,brine,3
2034,mine,spod,3
2034,mine,clay,3
2035,mine,brine,3
2035,mine,spod,3
2035,mine,clay,3
2036,mine,brine,3
2036,mine,spod,3
2036,mine,clay,3
2037,mine,brine,3
2037,mine,spod,3
2037,mine,clay,3
2038,mine,brine,3
2038,mine,spod,3
2038,mine,clay,3
2039,mine,brine,3
2039,mine,spod,3
2039,mine,clay,3
2040,mine,brine,3
2040,mine,spod,3
2040,mine,clay,3
2041,mine,brine,3
2041,mine,spod,3
2041,mine,clay,3
2042,mine,brine,3
2042,mine,spod,3
2042,mine,clay,3
2043,mine,brine,3
2043,mine,spod,3
2043,mine,clay,3
2044,mine,brine,3
2044,mine,spod,3
2044,mine,clay,3
2045,mine,brine,3
2045,mine,spod,3
2045,mine,clay,3
2046,mine,brine,3
2046,mine,spod,3
2046,mine,clay,3
2047,mine,brine,3
2047,mine,spod,3
2047,mine,clay,3
2048,mine,brine,3
2048,mine,spod,3
2048,mine,clay,3
2049,mine,brine,3
2049,mine,spod,3
2049,mine,clay,3
2050,mine,brine,3
2050,mine,spod,3
2050,mine,clay,3
2051,mine,brine,3
2051,mine,spod,3
2051,mine,clay,3
2052,mine,brine,3
2052,mine,spod,3
2052,mine,clay,3
2053,mine,brine,3
2053,mine,spod,3
2053,mine,clay,3
2054,mine,brine,3
2054,mine,spod,3
2054,mine,clay,3
2055,mine,brine,3
2055,mine,spod,3
2055,mine,clay,3
2056,mine,brine,3
2056,mine,spod,3
2056,mine,clay,3
2057,mine,brine,3
2057,mine,spod,3
2057,mine,clay,3
2058,mine,brine,3
2058,mine,spod,3
2058,mine,clay,3
2059,mine,brine,3
2059,mine,spod,3
2059,mine,clay,3
2060,mine,brine,3
2060,mine,spod,3
2060,mine,clay,3
2061,mine,brine,3
2061,mine,spod,3
2061,mine,clay,3
2062,mine,brine,3
2062,mine,spod,3
2062,mine,clay,3
2063,mine,brine,3
2063,mine,spod,3
2063,mine,clay,3
2064,mine,brine,3
2064,mine,spod,3
2064,mine,clay,3
2065,mine,brine,3
2065,mine,spod,3
2065,mine,clay,3
2066,mine,brine,3
2066,mine,spod,3
2066,mine,clay,3
2067,mine,brine,3
2067,mine,spod,3
2067,mine,clay,3
2068,mine,brine,3
2068,mine,spod,3
2068,mine,clay,3
2069,mine,brine,3
2069,mine,spod,3
2069,mine,clay,3
2070,mine,brine,3
2070,mine,spod,3
2070,mine,clay,3
2071,mine,brine,3
2071,mine,spod,3
2071,mine,clay,3
2072,mine,brine,3
2072,mine,spod,3
2072,mine,clay,3
2073,mine,brine,3
2073,mine,spod,3
2073,mine,clay,3
2074,mine,brine,3
2074,mine,spod,3
2074,mine,clay,3
2075,mine,brine,3
2075,mine,spod,3
2075,mine,clay,3
2076,mine,brine,3
2076,mine,spod,3
2076,mine,clay,3
2077,mine,brine,3
2077,mine,spod,3
2077,mine,clay,3
2078,mine,brine,3
2078,mine,spod,3
2078,mine,clay,3
2079,mine,brine,3
2079,mine,spod,3
2079,mine,clay,3
2080,mine,brine,3
2080,mine,spod,3
2080,mine,clay,3
2081,mine,brine,3
2081,mine,spod,3
2081,mine,clay,3
2082,mine,brine,3
2082,mine,spod,3
2082,mine,clay,3
2083,mine,brine,3
2083,mine,spod,3
2083,mine,clay,3
2084,mine,brine,3
2084,mine,spod,3
2084,mine,clay,3
2085,mine,brine,3
2085,mine,spod,3
2085,mine,clay,3
2086,mine,brine,3
2086,mine,spod,3
2086,mine,clay,3
2087,mine,brine,3
2087,mine,spod,3
2087,mine,clay,3
2088,mine,brine,3
2088,mine,spod,3
2088,mine,clay,3
2089,mine,brine,3
2089,mine,spod,3
2089,mine,clay,3
2090,mine,brine,3
2090,mine,spod,3
2090,mine,clay,3
2091,mine,brine,3
2091,mine,spod,3
2091,mine,clay,3
2092,mine,brine,3
2092,mine,spod,3
2092,mine,clay,3
2093,mine,brine,3
2093,mine,spod,3
2093,mine,clay,3
2094,mine,brine,3
2094,mine,spod,3
2094,mine,clay,3
2095,mine,brine,3
2095,mine,spod,3
2095,mine,clay,3
2096,mine,brine,3
2096,mine,spod,3
2096,mine,clay,3
2097,mine,brine,3
2097,mine,spod,3
2097,mine,clay,3
2098,mine,brine,3
2098,mine,spod,3
2098,mine,clay,3
2099,mine,brine,3
2099,mine,spod,3
2099,mine,clay,3
2100,mine,brine,3
2100,mine,spod,3
2100,mine,clay,3
