year,stage,input,output,invest
2020,proc,brine,loh,2
2020,proc,brine,lce,3
2020,proc,spod,loh,1
2020,proc,spod,lce,1
2020,proc,clay,loh,2
2020,proc,clay,lce,3
2021,proc,brine,loh,1
2021,proc,brine,lce,2
2021,proc,spod,loh,2
2021,proc,spod,lce,1
2021,proc,clay,loh,2
2021,proc,clay,lce,3
2022,proc,brine,loh,2
2022,proc,brine,lce,1
2022,proc,spod,loh,3
2022,proc,spod,lce,2
2022,proc,clay,loh,3
2022,proc,clay,lce,2
2023,proc,brine,loh,1
2023,proc,brine,lce,3
2023,proc,spod,loh,2
2023,proc,spod,lce,1
2023,proc,clay,loh,2
2023,proc,clay,lce,1
2024,proc,brine,loh,3
2024,proc,brine,lce,3
2024,proc,spod,loh,2
2024,proc,spod,lce,1
2024,proc,clay,loh,3
2024,proc,clay,lce,2
2025,proc,brine,loh,3
2025,proc,brine,lce,1
2025,proc,spod,loh,3
2025,proc,spod,lce,3
2025,proc,clay,loh,2
2025,proc,clay,lce,1
2026,proc,brine,loh,1
2026,proc,brine,lce,1
2026,proc,spod,loh,1
2026,proc,spod,lce,1
2026,proc,clay,loh,2
2026,proc,clay,lce,2
2027,proc,brine,loh,2
2027,proc,brine,lce,3
2027,proc,spod,loh,2
2027,proc,spod,lce,1
2027,proc,clay,loh,2
2027,proc,clay,lce,1
2028,proc,brine,loh,2
2028,proc,brine,lce,2
2028,proc,spod,loh,3
2028,proc,spod,lce,3
2028,proc,clay,loh,1
2028,proc,clay,lce,3
2029,proc,brine,loh,2
2029,proc,brine,lce,2
2029,proc,spod,loh,2
2029,proc,spod,lce,3
2029,proc,clay,loh,3
2029,proc,clay,lce,3
2030,proc,brine,loh,1
2030,proc,brine,lce,1
2030,proc,spod,loh,1
2030,proc,spod,lce,3
2030,proc,clay,loh,1
2030,proc,clay,lce,2
2031,proc,brine,loh,3
2031,proc,brine,lce,1
2031,proc,spod,loh,1
2031,proc,spod,lce,1
2031,proc,clay,loh,1
2031,proc,clay,lce,1
2032,proc,brine,loh,3
2032,proc,brine,lce,1
2032,proc,spod,loh,1
2032,proc,spod,lce,3
2032,proc,clay,loh,1
2032,proc,clay,lce,2
2033,proc,brine,loh,3
2033,proc,brine,lce,1
2033,proc,spod,loh,1
2033,proc,spod,lce,3
2033,proc,clay,loh,3
2033,proc,clay,lce,3
2034,proc,brine,loh,3
2034,proc,brine,lce,3
2034,proc,spod,loh,1
2034,proc,spod,lce,2
2034,proc,clay,loh,2
2034,proc,clay,lce,3
2035,proc,brine,loh,1
2035,proc,brine,lce,3
2035,proc,spod,loh,1
2035,proc,spod,lce,2
2035,proc,clay,loh,1
2035,proc,clay,lce,1
2036,proc,brine,loh,3
2036,proc,brine,lce,1
2036,proc,spod,loh,3
2036,proc,spod,lce,3
2036,proc,clay,loh,3
2036,proc,clay,lce,1
2037,proc,brine,loh,3
2037,proc,brine,lce,3
2037,proc,spod,loh,3
2037,proc,spod,lce,2
2037,proc,clay,loh,2
2037,proc,clay,lce,3
2038,proc,brine,loh,2
2038,proc,brine,lce,1
2038,proc,spod,loh,2
2038,proc,spod,lce,2
2038,proc,clay,loh,1
2038,proc,clay,lce,2
2039,proc,brine,loh,2
2039,proc,brine,lce,1
2039,proc,spod,loh,3
2039,proc,spod,lce,1
2039,proc,clay,loh,1
2039,proc,clay,lce,2
2040,proc,brine,loh,3
2040,proc,brine,lce,3
2040,proc,spod,loh,1
2040,proc,spod,lce,1
2040,proc,clay,loh,1
2040,proc,clay,lce,3
2041,proc,brine,loh,2
2041,proc,brine,lce,1
2041,proc,spod,loh,1
2041,proc,spod,lce,3
2041,proc,clay,loh,2
2041,proc,clay,lce,2
2042,proc,brine,loh,2
2042,proc,brine,lce,2
2042,proc,spod,loh,1
2042,proc,spod,lce,1
2042,proc,clay,loh,2
2042,proc,clay,lce,2
2043,proc,brine,loh,1
2043,proc,brine,lce,2
2043,proc,spod,loh,1
2043,proc,spod,lce,1
2043,proc,clay,loh,2
2043,proc,clay,lce,2
2044,proc,brine,loh,1
2044,proc,brine,lce,2
2044,proc,spod,loh,1
2044,proc,spod,lce,3
2044,proc,clay,loh,2
2044,proc,clay,lce,3
2045,proc,brine,loh,1
2045,proc,brine,lce,3
2045,proc,spod,loh,1
2045,proc,spod,lce,2
2045,proc,clay,loh,3
2045,proc,clay,lce,1
2046,proc,brine,loh,2
2046,proc,brine,lce,1
2046,proc,spod,loh,2
2046,proc,spod,lce,2
2046,proc,clay,loh,3
2046,proc,clay,lce,1
2047,proc,brine,loh,1
2047,proc,brine,lce,1
2047,proc,spod,loh,1
2047,proc,spod,lce,1
2047,proc,clay,loh,1
2047,proc,clay,lce,2
2048,proc,brine,loh,3
2048,proc,brine,lce,2
2048,proc,spod,loh,2
2048,proc,spod,lce,3
2048,proc,clay,loh,1
2048,proc,clay,lce,2
2049,proc,brine,loh,3
2049,proc,brine,lce,3
2049,proc,spod,loh,1
2049,proc,spod,lce,2
2049,proc,clay,loh,2
2049,proc,clay,lce,1
2050,proc,brine,loh,1
2050,proc,brine,lce,1
2050,proc,spod,loh,1
2050,proc,spod,lce,2
2050,proc,clay,loh,2
2050,proc,clay,lce,1
2051,proc,brine,loh,2
2051,proc,brine,lce,1
2051,proc,spod,loh,2
2051,proc,spod,lce,1
2051,proc,clay,loh,3
2051,proc,clay,lce,3
2052,proc,brine,loh,3
2052,proc,brine,lce,1
2052,proc,spod,loh,3
2052,proc,spod,lce,1
2052,proc,clay,loh,1
2052,proc,clay,lce,3
2053,proc,brine,loh,2
2053,proc,brine,lce,1
2053,proc,spod,loh,3
2053,proc,spod,lce,2
2053,proc,clay,loh,1
2053,proc,clay,lce,1
2054,proc,brine,loh,3
2054,proc,brine,lce,3
2054,proc,spod,loh,2
2054,proc,spod,lce,3
2054,proc,clay,loh,1
2054,proc,clay,lce,1
