year,stage,output,prod
2020,mine,brine,0
2020,mine,spod,27.69576912
2020,mine,clay,137.3042309
2021,mine,brine,0
2021,mine,spod,61.31535086
2021,mine,clay,152.6846491
2022,mine,brine,0
2022,mine,spod,96.24882692
2022,mine,clay,195.7511731
2023,mine,brine,0
2023,mine,spod,120.904051
2023,mine,clay,239.095949
2024,mine,brine,0
2024,mine,spod,148.2399474
2024,mine,clay,247.7600526
2025,mine,brine,0
2025,mine,spod,170.0074901
2025,mine,clay,265.59251
2026,mine,brine,0
2026,mine,spod,187.9135721
2026,mine,clay,291.246428
2027,mine,brine,0
2027,mine,spod,207.4617016
2027,mine,clay,319.6142984
2028,mine,brine,0
2028,mine,spod,228.7576606
2028,mine,clay,351.0259394
2029,mine,brine,0
2029,mine,spod,251.9062946
2029,mine,clay,385.8556654
2030,mine,brine,0
2030,mine,spod,268.9791582
2030,mine,clay,250.1386366
2031,mine,brine,0
2031,mine,spod,292.453499
2031,mine,clay,267.7424898
2032,mine,brine,0
2032,mine,spod,317.4849126
2032,mine,clay,286.4335936
2033,mine,brine,0
2033,mine,spod,344.1006312
2033,mine,clay,306.2317938
2034,mine,brine,0
2034,mine,spod,372.3168764
2034,mine,clay,327.1497774
2035,mine,brine,0
2035,mine,spod,402.1375788
2035,mine,clay,349.1922352
2036,mine,brine,0
2036,mine,spod,433.5532428
2036,mine,clay,372.3551192
2037,mine,brine,0
2037,mine,spod,466.540012
2037,mine,clay,396.6250312
2038,mine,brine,0
2038,mine,spod,501.0589914
2038,mine,clay,421.9787808
2039,mine,brine,0
2039,mine,spod,537.0558784
2039,mine,clay,448.3831456
2040,mine,brine,0
2040,mine,spod,563.7538502
2040,mine,clay,468.7751514
2041,mine,brine,0
2041,mine,spod,601.7604788
2041,mine,clay,496.6679126
2042,mine,brine,0
2042,mine,spod,640.9686278
2042,mine,clay,525.4376602
2043,mine,brine,0
2043,mine,spod,681.2682258
2043,mine,clay,555.0149078
2044,mine,brine,0
2044,mine,spod,722.5378808
2044,mine,clay,585.322826
2045,mine,brine,0
2045,mine,spod,764.646755
2045,mine,clay,616.278477
2046,mine,brine,0
2046,mine,spod,807.456726
2046,mine,clay,647.7942326
2047,mine,brine,0
2047,mine,spod,850.824762
2047,mine,clay,679.7793314
2048,mine,brine,0
2048,mine,spod,894.6054198
2048,mine,clay,712.1415248
2049,mine,brine,0
2049,mine,spod,938.6533872
2049,mine,clay,744.7887402
2050,mine,brine,0
2050,mine,spod,982.8259646
2050,mine,clay,777.630716
2051,mine,brine,0
2051,mine,spod,1026.985411
2051,mine,clay,810.580539
2052,mine,brine,0
2052,mine,spod,1071.001069
2052,mine,clay,843.5560414
2053,mine,brine,0
2053,mine,spod,1114.751206
2053,mine,clay,876.4810136
2054,mine,brine,0
2054,mine,spod,1158.124533
2054,mine,clay,909.2861986
2055,mine,brine,0
2055,mine,spod,1201.021364
2055,mine,clay,941.9100578
2056,mine,brine,0
2056,mine,spod,1243.35441
2056,mine,clay,974.2992982
2057,mine,brine,0
2057,mine,spod,1285.049218
2057,mine,clay,1006.409156
2058,mine,brine,0
2058,mine,spod,1326.044276
2058,mine,clay,1038.203474
2059,mine,brine,0
2059,mine,spod,1366.290808
2059,mine,clay,1069.654572
2060,mine,brine,0
2060,mine,spod,1427.240166
2060,mine,clay,1114.830656
2061,mine,brine,0
2061,mine,spod,1459.731261
2061,mine,clay,1141.505645
2062,mine,brine,0
2062,mine,spod,1491.661512
2062,mine,clay,1167.974142
2063,mine,brine,0
2063,mine,spod,1523.026357
2063,mine,clay,1194.237987
2064,mine,brine,0
2064,mine,spod,1553.827923
2064,mine,clay,1220.303559
2065,mine,brine,0
2065,mine,spod,1584.074243
2065,mine,clay,1246.181253
2066,mine,brine,0
2066,mine,spod,1613.778452
2066,mine,clay,1271.884968
2067,mine,brine,0
2067,mine,spod,1642.958019
2067,mine,clay,1297.431599
2068,mine,brine,0
2068,mine,spod,1671.634003
2068,mine,clay,1322.840557
2069,mine,brine,0
2069,mine,spod,1699.830355
2069,mine,clay,1348.133321
2070,mine,brine,0
2070,mine,spod,1727.573283
2070,mine,clay,1373.333023
2071,mine,brine,0
2071,mine,spod,1754.890677
2071,mine,clay,1398.464069
2072,mine,brine,0
2072,mine,spod,1781.811588
2072,mine,clay,1423.55182
2073,mine,brine,0
2073,mine,spod,1808.365788
2073,mine,clay,1448.62229
2074,mine,brine,0
2074,mine,spod,1834.58337
2074,mine,clay,1473.701906
2075,mine,brine,0
2075,mine,spod,1860.494425
2075,mine,clay,1498.817289
2076,mine,brine,0
2076,mine,spod,1886.128763
2076,mine,clay,1523.995087
2077,mine,brine,0
2077,mine,spod,1911.515688
2077,mine,clay,1549.261824
2078,mine,brine,0
2078,mine,spod,1936.683811
2078,mine,clay,1574.643795
2079,mine,brine,0
2079,mine,spod,1961.660914
2079,mine,clay,1600.166974
2080,mine,brine,0
2080,mine,spod,1986.473837
2080,mine,clay,1625.856949
2081,mine,brine,0
2081,mine,spod,2011.1484
2081,mine,clay,1651.738883
2082,mine,brine,0
2082,mine,spod,2035.709358
2082,mine,clay,1677.837486
2083,mine,brine,0
2083,mine,spod,2060.180358
2083,mine,clay,1704.176994
2084,mine,brine,0
2084,mine,spod,2084.58394
2084,mine,clay,1730.781183
2085,mine,brine,0
2085,mine,spod,2108.941528
2085,mine,clay,1757.673364
2086,mine,brine,0
2086,mine,spod,2133.273456
2086,mine,clay,1784.876411
2087,mine,brine,0
2087,mine,spod,2157.598978
2087,mine,clay,1812.412785
2088,mine,brine,0
2088,mine,spod,2181.936318
2088,mine,clay,1840.304549
2089,mine,brine,0
2089,mine,spod,2206.30269
2089,mine,clay,1868.573426
2090,mine,brine,0
2090,mine,spod,2230.714346
2090,mine,clay,1897.24081
2091,mine,brine,0
2091,mine,spod,2255.186624
2091,mine,clay,1926.327823
2092,mine,brine,0
2092,mine,spod,2279.73399
2092,mine,clay,1955.855346
2093,mine,brine,0
2093,mine,spod,2304.370084
2093,mine,clay,1985.844056
2094,mine,brine,0
2094,mine,spod,2329.107766
2094,mine,clay,2016.31448
2095,mine,brine,0
2095,mine,spod,2353.95917
2095,mine,clay,2047.287022
2096,mine,brine,0
2096,mine,spod,2378.93574
2096,mine,clay,2078.782014
2097,mine,brine,0
2097,mine,spod,2404.04828
2097,mine,clay,2110.81975
2098,mine,brine,0
2098,mine,spod,2429.30699
2098,mine,clay,2143.420528
2099,mine,brine,0
2099,mine,spod,2454.721518
2099,mine,clay,2176.604686
2100,mine,brine,0
2100,mine,spod,2480.300992
2100,mine,clay,2210.392648
