year,stage,input,output,prod
2020,proc,brine,loh,0
2020,proc,brine,lce,0
2020,proc,spod,loh,147.7891881
2020,proc,spod,lce,0
2020,proc,clay,loh,0
2020,proc,clay,lce,145.3393943
2021,proc,brine,loh,0
2021,proc,brine,lce,0
2021,proc,spod,loh,205.7999445
2021,proc,spod,lce,0
2021,proc,clay,loh,0
2021,proc,clay,lce,173.4935457
2022,proc,brine,loh,0
2022,proc,brine,lce,0
2022,proc,spod,loh,266.0778321
2022,proc,spod,lce,0
2022,proc,clay,loh,0
2022,proc,clay,lce,211.3772252
2023,proc,brine,loh,0
2023,proc,brine,lce,0
2023,proc,spod,loh,308.6205446
2023,proc,spod,lce,0
2023,proc,clay,loh,0
2023,proc,clay,lce,245.1675567
2024,proc,brine,loh,0
2024,proc,brine,lce,0
2024,proc,spod,loh,355.7887705
2024,proc,spod,lce,0
2024,proc,clay,loh,0
2024,proc,clay,lce,267.7407651
2025,proc,brine,loh,0
2025,proc,brine,lce,0
2025,proc,spod,loh,393.3487742
2025,proc,spod,lce,0
2025,proc,clay,loh,0
2025,proc,clay,lce,288.3539945
2026,proc,brine,loh,0
2026,proc,brine,lce,0
2026,proc,spod,loh,424.2458082
2026,proc,spod,lce,0
2026,proc,clay,loh,0
2026,proc,clay,lce,307.9710174
2027,proc,brine,loh,0
2027,proc,brine,lce,0
2027,proc,spod,loh,457.9762035
2027,proc,spod,lce,0
2027,proc,clay,loh,0
2027,proc,clay,lce,329.5056889
2028,proc,brine,loh,0
2028,proc,brine,lce,0
2028,proc,spod,loh,494.7224873
2028,proc,spod,lce,0
2028,proc,clay,loh,0
2028,proc,clay,lce,353.1230987
2029,proc,brine,loh,0
2029,proc,brine,lce,0
2029,proc,spod,loh,534.665571
2029,proc,spod,lce,0
2029,proc,clay,loh,0
2029,proc,clay,lce,378.9992784
2030,proc,brine,loh,0
2030,proc,brine,lce,0
2030,proc,spod,loh,564.1248825
2030,proc,spod,lce,0
2030,proc,clay,loh,0
2030,proc,clay,lce,356.0265441
2031,proc,brine,loh,0
2031,proc,brine,lce,0
